,Qoraalka,Qeybta
13717,Hero waaa sheekadii qaadka kenya waa muqaadaraad kan Ethopiana waa qudaar,Neutral-Dhexdhexaad
13718,Qaadka Miiraa ee Kenya oo si qarsoodi ah loo fasaxay,Negative-Xumaan
13719,N0LOSHA Kaba qaadka xataa waa temp day laborer bases,Neutral-Dhexdhexaad
13720,DEG DEG Xassan Sheekh oo fasaxay qaadka Kenya iyo xogo kale oo qarsoon,Positive-Wanaag
13721,Abdullahi Mohamed Nuur ayaa heshiis lagalay Kimathi Munjuri Gudoomiyaha Ururka Ganacsata Miiraaga Chairman of Mira Traders Assossiation In qaadka laga soo dejiyo Heshiiskan Kenya waxa kasoo geli Malaayiin Wadamo badan jaadka waxay kudareen Liiska Maandooriyaha,Neutral-Dhexdhexaad
13722,Dawladda Itoobiya oo Somaliland Ka Joojinaysa Qaadka Ka Baxa Dalkeeda iyo Ganacsato Bilaabaya Qaadka Kenya ee miroga,Neutral-Dhexdhexaad
13723,Dibadbax Looga Soo Horjeedo Qaadka Hareeriga ee Laga Keeno Dalka Itoobiya oo Muqdisho ka Dhacey Mohamed Rooraye ayaa ka waramaya P3 Qaadwale Farmaajo oo dumarka caruurtooda ku korsada dhaqaalaha ka soo gala qaadka cunaha qabtay,Neutral-Dhexdhexaad
13724,Moqdisho Dibadbax Looga Soo Horjeedo Qaadka Hareeriga ee Laga Keeno Dalka Itoobiya oo Muqdisho ka Dhacey,Neutral-Dhexdhexaad
13725,Dibadbax Looga Soo Horjeedo Qaadka Hareeriga ee Laga Keeno Dalka Itoobiya ayey abaabuleen Khaadka laga Keeno Ethiopia waxaa ay Somalia ku badelataa Kaluun laga beec geeyo halkaan Maxaad rabtaan Miraa ineey Kenya ku bedeshaan Mogadishu Puntland KGS,Neutral-Dhexdhexaad
13726,Farmaajo Lacagtii Qaadka Baaa 10 qasri dhisa karta Wax kala Reebo almiine,Neutral-Dhexdhexaad
13727,Farmaajo Lacagta QAADKA Brother Abiy Maa Ku dagaal galay,Neutral-Dhexdhexaad
13728,Shaqaadi hore ee Kaba qaadka waa dhamaatay ee maad is qarisid,Negative-Xumaan
13729,Waan soo raa cay jini qaadka dhibka badan waxaan xasustaa bari ariga marka la iraciyo aan bari jiray markii uu arigu didana aan ladidi jiray lool xasuus walhi,Negative-Xumaan
13730,Rooble baahane waa Traitor Wadankiisa Shilimaad Kaga Doortay Cadow Ajaanibta Hoos Fariista Kas Wadanka halaga Qabto Necibiyaa Kuwa Wadanada Shisheeye U ah Kaba Qaadka amp Dabadhilifka Wadamada Horey U Maray Traitors Qoorta Loo Dheereeyaa Somalia Unbaa Laga Helaa Traitors Miiran,Negative-Xumaan
13731,Waxaan sax u arkaa haddii barnaamijkan deegaankeenu qaadan laha lagan fulin lahaa qabaleeyada deegaanka si bulshadu u helaan guryo lagu noolaankaro oo qabow bilicna ku soo kordhinaya qabaleeyada miyiga Talaaba qaadka allah ha inoo hagaajiyo,Positive-Wanaag
13732,Waa dekedda qaadka Ethiopia lagu cashiuro,Neutral-Dhexdhexaad
13733,KULANE TPLF XAQIQDA AYNU HAYNO WA ADIGA CANJEX BAKAL IYO CAWAR YEEY YIHIN WALIBA WAKUWEY KABA QAADKA U AHA ABAHA IYO NIMAN GEDO TAGIN USHEG,Positive-Wanaag
13734,Farmaajo Qaadka somalia dhan ku so dago wlalkis ayaa heystay wana sababta uu kenya ula dagaalay faaido isaga oo fiirinaayo hhhhh,Neutral-Dhexdhexaad
13735,Somalia Guusha Xasan Sheekh 1 Qaadka la fasaxay 2 Ciidama from 300 to 100 dollar mushaharka 3 Imaradka 9 6 million 4 Roobow amp Hasan dahir la soo daayo 5 Kenya loo ogolado qunsuliyad Kismaayo 6 Imaaradka saldhigoodii dib loo furo 7 Stay tune More to come,Negative-Xumaan
13736,Somaliland aqoonsi u keen Qaadka ha iloobin wadahadaladii aad maanta wasiirada la yeelatay,Neutral-Dhexdhexaad
13737,Jag har ett jobb Jag betalar j ttemycket i skatt s att du kan halvslappa p din jobbs karkurs Hur r det har farsan dragit hooyadaa qaadka,Neutral-Dhexdhexaad
13738,hussein21 Laila mid cad oo quruxda bada oo qaadka gadysaa ciil iga hayaa,Positive-Wanaag
13739,Beeraleyda qaadka oo ku duceysanayey in Hassan Sheikh ama Deni midkooda ayaa wali ku jira dabaaldagooda Somalia,Neutral-Dhexdhexaad
13740,Fadlan madax weyne miirooga soo daa Waxaa eeday siyaad bare iyo farmaajo qaadka dadka ayuu kaa jeediyaa,Neutral-Dhexdhexaad
13741,Xasan Hurdaye waraa uyaalo dadka sidan leh ma ahan oo keliya Pro Farmaajo sida aad hadalka u dhigteen Lkn magalo Xasan Gurgurte loogu dabaal degay majirto aan ka ahayn Beeralayda Qaadka Miirowga Kenya Muqdisho way guxaysaa Somalia inteeda kalena sidoo kale,Positive-Wanaag
13742,Nairobi waxaa dib loogu kala kicin doonaa dakhliga kasoo xarooda qaadka somaliya loo iib geynayo,Neutral-Dhexdhexaad
13743,DEG DEG Qaadka Kenya amp Goanka Damu Jadiid Dalka Kusoo Fasaxday Dhaqalihi,Positive-Wanaag
13744,Taageerayaasha Xasan Sheekh ee beeraleyda qaadka Kenya udabbaaldegaya guusha ay ka gaareen doorashadii Xamar ka dhacaday Qofkii aan wax ogaynoow wax arag Waxay dheheen laba sano iyo bar oo qaadku kaxayirnaa Soomaaliya waxaa nooga baaqatay 450 malyuun Maalinkii 500 000,Negative-Xumaan
13745,fariinta ha la tuso Lo da qaadka daaqdo,Neutral-Dhexdhexaad
13746,Dabaaldaga beeralayda qaadka Kenya iyo guusha maxaa isku soo beegay Keenista ciidamadda iyo guusha maxaa isku beegay Waxani waxa ay dhacayaan xili wili aan lagu wareejin madaxweynaha dalka,Neutral-Dhexdhexaad
13747,Beeralayda Qaadka ee Kenya oo dabaal dagaysa kaddib Markii Madaxwayne rabitaankooda ka shaqeeya Ay Heleen ripsomalia,Neutral-Dhexdhexaad
13748,Ganacsatada qaadka Kenya ayaa soo dhoweeyay doorashada madaxweyne Xasan Sheekh waxaana BBC da la hadlay Cabdullahi Axmed oo ka mid ah yahay ganacsatada Qaadka,Neutral-Dhexdhexaad
13749,10 Gobol oo Somalia kamid ah Saaka waxaa si rasmi ah uga soo dagay QAADKA KRNYA Xitaa fasax iyo amar lama waydiisan Madaxwaynaha cusub Kenyanku waxay aamin sanyihiin in wax kasta ay Somalia kasamaysan karaan maadaama Farmaajo xilka kadagay,Neutral-Dhexdhexaad
13750,Wararkii ugu Danbeeyey Arinta Qaadka Kenya Doorashada Madaxwayne Xasan S via,Positive-Wanaag
13751,Qaadka canshuurta ku badiyakenya iyo Ethiopia ileen lama joojinkaro sikale,Positive-Wanaag
13752,Shacabka somaliyeed waa inay mudaharadan si loo joojiyo qaadka,Neutral-Dhexdhexaad
13753,dhadhankii ayada saxibaded uga barten somali ay wayee ayaa uso noqday dibjir raga kale u ahaa kaba qaadka,Negative-Xumaan
13754,Walaal siciid fadlan la xidhiidh Mr Cawaale Qaaddiid Twitterkiisa waa waxaad la socodsiisa Qaadka Gaalkacyo la keeno kadib markii la doortay XassanSheikh,Neutral-Dhexdhexaad
13755,Somalia oo degtaa waxay baahan tahay dib u heshiisiin qaran dhisidda dowlad loo dhan yahay nabadda oo la dammaanad qaado miro dhalka wadahadalka Waqooyi amp Koofur dastuurka dhameys tiran ballan qaadka la dagaallanka argagixisada shaqo abuur cadaalad baahda amp adeeg dowladeed,Positive-Wanaag
13756,Somalia Dunida heshiis la ah Macneheeda waa fahmeynaa waxaad ka wadaa Kenya ha Loo Sujuudo Qaadka hala Keno Tuuganimadii iyo Daciifnimada hala soo CELIYO Qab ku FAARMAAJO shisheeye Tusay Hood hala dhibo Adoo kale ku Soconaa,Negative-Xumaan
13757,Qosolkan iskadaa madaxwayne waa inaad dalkaaga cadaw kasta ka difaacdaa Hadii kale dee villa ii dhex fadhiiso oo lacagaha halkaa ka ururso qaadka kenya inaadan dalka dib ugu soo celinbaan kuleenaha wadamada shisheeyana shaqayn kaliya ha idinka dhaxayso ayaanay dalka soo faragalin,Positive-Wanaag
13758,Ali26 Farmaajo sax wuu dhisay ciidan balse waa fadhiid qaadka qabilka amp wacyi galin la aan ayaa sameyn ku yeelaty taasi waxey sababty inay noqdan kuwa dalka ka xorayn karin cadowga shabaab Farmaajo wuu ku mahadsanyahy wadanka wuxu u qabaty lkin dagaalka shabab wuu ka gaabshy waa fikirkayga,Positive-Wanaag
13759,Galaydh25 Beeralayda qaadka ee dalka kenya Oo kahadlay dib u,Neutral-Dhexdhexaad
13760,Wax yaalaha niyada lays kugu dhiso ayeey ka mid thy naag kulama guursanayo waana inta uu haysan balan qaadka lknse Marka uu Helo qof kale oo shidan waa uu ku qabsanaya islamarkana waxa uu ilabaya in uu xaas laha taasna waa damaca badan ee ay ragu leeyihiin weligay ka aminin nin,Negative-Xumaan
13761,Soomali heshiis ah dunidana Heshiis la ah 1 Ma Qaadka Kenya oo dalka la keeno baa 2 Ma in uu Biden yiraahdo baa Ciidan Maraykan ah baan keenayaa Somalia 3 Ma in Madaxbanaanideena lagu cayaaro baa Nin dhalinyaro h oo wx bartay oo rajo leh bn ku hystay blse wxba ma tihid,Neutral-Dhexdhexaad
13762,Dadka Soomaaliyeed waa ineey joojiyaan isticmaalka qaadka Kenya It s your civic duty to protect the security amp economy of Simply stop using the khat both for personal amp business Don t say we have no choice we need to eat You survived without it for years It s drug,Neutral-Dhexdhexaad
13763,Qaadka Mirowga ayaa ku dhawaad 3 sano ka dib dib uga bilaaban doona Soomaaliya in kastoo si qarsoodi ah ku soo galo Caasimadda Soomaaliya haddana majirin diyaaradhii 30ka ahaa ee imaajiray Muqdisho Magaalooyinka Gaalkacyo iyo Baydhabo ayaa maanta laga dajiyay qaadka Mirowga,Negative-Xumaan
13764,Qaadka ku ekow fadlan si aad u hesho tixgalin shacab,Neutral-Dhexdhexaad
13765,NSHO Sxb goorma ayuu qaadka xirnaa mise qaadka farmaajeysan waa xalaal Runtii bal kulaabo xusuustaada,Negative-Xumaan
13766,Qaadka waxaa lagu sumeynayaa oo lagu mashquulinayaa waa dhalinta Somaliyeed si aysan weligood u fakerin oo nolosha oga dhacaan markaana waxii la doono laga sameysto laguna sameeyo waa dhibaato so korortey aloow sahal amuuraha,Neutral-Dhexdhexaad
13767,Daacadnimadu waa hadyad qaali ah ee ka filanin inay ka timaaddo dad raqiis ah 3 shay waa inaadan waligaa jebin Kalsoonida balan qaadka quluubta,Positive-Wanaag
13768,NSHO Oo goormuu qaadka xirnaa mase kan itoobiya kaliya baad rabtay in la daayo,Negative-Xumaan
13769,Intad tahay madaxweynaha waa 2 malin intasna Africom oo imanaya qaadka kenya oo soo dagay shir Nairobi Somalinimo meeday hadad tahay madaxweynaha somaliya Mise waa maqaar umada hog ka tuur,Neutral-Dhexdhexaad
13770,Mudane madaxwayne hambalyo marka kowaad Waxaan ka codsanynaa in Aadan qaadka Kenya marna gorgortan ka gelin,Positive-Wanaag
13771,Shacabka Soomaaliyeed waa ka murugeysan yahay doorashadaada sababtoo ah waxay ka cabsi qabaan inaad dalka shisheeye faraha u galineysid Fadlan dalka iyo dadka aad masuulintooda heysid Illaahay uga baq Kadiid Mareykanka ciidamadiisa uu dalka kusoo wado Qaadka hanogoso fasixin,Negative-Xumaan
13772,Markuu gado dekeda Marka tan Baraawe tan Hobyo tan Kismaayo oo uu Qaadka fasaxo Badii u celiyo Kenya ayaan ku wareysan,Neutral-Dhexdhexaad
13773,Qaaddiid oo u xiisay qaadka sii degi jiray miyaa ninka ama anaa si xun wax u arag noqday,Negative-Xumaan
13774,Siyaasadii Madaxweyne Farmaajo Qaadka kenya waa sun Qaadka ethiopia waa khudaar Qatar waa sokeeye Imaaraad waa shisheeye Jabuuti waa shisheeye Eriteria waa sokeeye W Q MaxamudCadod,Neutral-Dhexdhexaad
13775,Waxay iyiraahdeen Maxaad Xasan Sheekh ugu hambalyeyn weyday Anna waxaan iri Hamabalyadii waxaa iiga hormaray TPLF Matt Bryden Beeraleyda qaadka Kenya iyo naddis oo dhan Aniga iyo kuwaasna isku hal qof hal mar uma wada bogaadin karno Marka bahasha iska wasakhayn maayo,Neutral-Dhexdhexaad
13776,Tani waad Ku khaldanday waxaan kuu sugeynaa dharw cisho adigoo qaylinaya yaanun maqal HSM shaqada oogu horeysay ee qaban doona waa fasaxidda Qaadka Kenya please refrain from the emotional celebrations before checking out all the fact surrounding HSM,Negative-Xumaan
13777,Allah damiir xuma Madaxwayne anagaa cadowga kaa dhicineenee ha noo jabin Qaadka ha fasaxin sirta xafiiskaaga amp NISA dhowr musharka bixi ciidamada amp maliyada amp midnimada dhowr,Negative-Xumaan
13778,Diyaarada Qaadka oo kadagay somalia saaka goor hore wax qabadka ugu horeeyay ee uu qabto weeye xasan shiikh,Positive-Wanaag
13779,Mudane madaxweyne tijaabada koowaad ee aad maraysaa waa sida aad ka yeesho qaadka kenya ee dhaqaalaha Somaliya burburiyey illahay kaga baq masuuliyada oo umada ha ku soo dayn aafadaa laga nastat waan kuu ducaynaynaa in alle kuu fudaydiyo xilgudashada,Positive-Wanaag
13780,Hasanoow 1 qaadka soo daah 2 mushaarka c jooji 3 Dagaalo sakeeye abaabul 4 dalka UAE ku wareeji 5 wixii hanti dadweyne ah aruursada,Neutral-Dhexdhexaad
13781,Hadii ad run sheegaysid sidii uu UGA xidhay madax Wayne farmaajo qaadka adna UGA xir oo hau ogalaan fursad,Negative-Xumaan
13782,Maxaad ka tiri Dabaaldaga ka dhacay Magaalada Qaadka Kenya Xalay,Neutral-Dhexdhexaad
13783,khadija Hoo qaadka qadiijo,Neutral-Dhexdhexaad
13784,Galaydh25 Beeralayda qaadka ee dalka kenya Oo kahadlay dib u,Neutral-Dhexdhexaad
13785,Galaydh25 Beeralayda qaadka ee dalka kenya Oo kahadlay dib u,Neutral-Dhexdhexaad
13786,Waxan ka codsanya madaxweynaha cusub inuu San qaadka soo celin kunjeer,Positive-Wanaag
13787,Markaasu Farmajo ku dhaha waxbaan qabtay iyado intano howl ee u Hassan 2017 ka tagay sideedi tahay Ciidanka Farmajo ee mushahar intu siyo qaadka Ethiopian ka u kenaye Tiktok u wada furnayen en waligood AS la dagaalin hada laga bilabo shaqa qarana u talaa ama minikoda adayan,Neutral-Dhexdhexaad
13788,Soomaaliya oo Gashay 4 Sano oo Mugdiya iyo Qaadka oo la fasaxayo,Neutral-Dhexdhexaad
13789,Rooble baahane waxaa lagu abaalmarinayaa in la siiyo qandaraaska qaadka kenya,Neutral-Dhexdhexaad
13790,khadija Habarta intaas ayadoo le eg qaawan marna qaadka ufadhida maxaa laga sugayaa,Negative-Xumaan
13791,Qaadka Kenya Midka itoobiya miyuu ka xaraaryahay,Neutral-Dhexdhexaad
13792,tan waxaa keenaysa in lagu yaqaano madaxwaynahaan la doortay shisheeyo kalkaal amp musuq maasuq baahsan Fadlan madaxwayne dhaqankaagii hore badal oo u hogaan sanow dalka dadka jajuusta amp shisheyahana dalka banaanka ka dhig oo yay faragalin Qaadka ha sii dayn,Negative-Xumaan
13793,Xildhibaanada Baarlamaanka Soomaaliya ma garanayaan oo ma garanayaan danta dalka iyo dadka Dabaal dagyo Kenya ka dhacay sababtoo ah waxaa meesha laga saaray ninkii xoogga badnaa ee Qaadka iyo Maandooriyaha mamnuucay Soomaali Waxa ka Muqdaa murugo,Neutral-Dhexdhexaad
13794,Marka qaadka itoobiya xalal noqday midka kenyana xaraan noqday,Neutral-Dhexdhexaad
13795,Waxaa ugu horeeya oo madaxweyne HSM uu sameynayo waxa weeye 1 Qaadka Kenya oo dib loo furo 2 Gabre oo madaxtooyada ku soo noqda 3 Gabdhaha oo carabta loo dhoofiyo 4 Musuq maasuq amp eex 5 Fawdo amp nidaam xumo 6 Askarta oo mushaharka loo waayo,Negative-Xumaan
13796,Wait till his brother and wife lose the Qaadka that comes from Ethopia Airlines that they forced to work for them and so many businesses that people don t know He s low key benefited what other president never thought about it,Positive-Wanaag
13797,Mudane Farmaajo ha nagu noqon ballan qaadka waa u fudud yahay siyaasiga soomaaliyeed lkn fulin baa layska raba AAW4PRESIDENT,Positive-Wanaag
13798,Farmajo waa daacad walaalkiis ayuu uxiray Qaadka jaadka hareeriga Ethopia in uu Somaliya keeno Farmajo waa wadani Kenya ayuu Ethopia ka jeclaaday Markii hore hishii ayuu TPLF lagalay Qalbi dhagax ayuu udhiibay Iyaguna waxey u afduubeen SWS iyo Galmudug state Kaligiis wadani,Positive-Wanaag
13799,Murashax Madaxweyne Abdikadir Cosoble ayaa labo kacleeyay caawa waxaana fursaddan siiyay dhowr arrimood oo kala aha 1 Xildhibaanada gundhiga u aha iyo kuwa uu ol olaha doorashada ku helay waxay gaarayaan caawa 90 2 Waa Murshax lagu bartay fulinta ballan qaadka go aan qaadashana,Neutral-Dhexdhexaad
13800,Farmaajo farmajo qaadka kenya ayu jojiyay ki ethopia ayu kenay wax is badalay majiran,Neutral-Dhexdhexaad
13801,Elmi1 Kaba qaadka iska yareey wadanka kuu baahan ee qorax dhaceyso yeysan kula tagin Most of the ccb waa dadka iska qurbaha ku wareeray yeysan farmajo madaxa kaaga wareerin ee dhaxdhaxad iska ahow inta lagu kala baxayo,Neutral-Dhexdhexaad
13802,Ugu yaran 5 qof aya ku dhintay tiro kalena way ku dhaawacmen shil baabuur oo ka dhacay agagaarka tuulada Burcada yar ee Bariga Magalada Hargaysa Shilkan babuur ayaa aha isku dhaca saddex gaari oo kala ahaa gari nooca qaadka qada ah gaari Booyad ah iyo gaari nooca raxada ah,Negative-Xumaan
13803,Wasiirka Beeraha Kenya iyo Iskaashatada Qaadka miirooga Waxay sheegeen in Farmaajo 15 may 2022 Aan ku fucaysanaa inuu dhaco Fariintaa Umadda Soomaaliyeed Gaadhsiiya Somali ISBEDELDOONKASOCDA MunawarFaruqui Mogadishu WithYou Somalia,Neutral-Dhexdhexaad
13804,Mana horboodee Jiisow Sow adinkii itoobiyaanka kaba qaadka u ahaa 5 tii sano ee lasoo dhaafay,Negative-Xumaan
13805,Yaaney malaayacniga qaadka cid u bilowda waayay way doonayan o way daaqi lahaayen lkn cid u iibisa ayay laayihiin iyo kuwa laga quustay ee hooyadooda baradhada suuqa la fadhiista habeenki markay timaada 25cent kaxada hilaac beena yaaney ku dhigin hush ku dheh gabadheey hooy,Negative-Xumaan
13806,Musuqa ugu wayn wuxuu dhacay 5 tii sano ee Farmaajo wadanka xukumayey Tusaale qandaraaskii qaadka ee uu ka wareejiyey Kenya asagoo raba in uu lug ku yeesho kadibna walaalkiis u xiray Ethiopiana ula wareegay,Neutral-Dhexdhexaad
13807,Qofka cuna Qaadku muuqaal ahaan wuu ka muuqdaa wuxuuna u eegyahay qof daalan caajis wada sisi ah oo qaabdaran Dhallinyarada Soomaaliyeed meelkasta oo ay joogaan waan ka wacyigelinayaa inay Qaadka cunaan waayo dhibaato mooyee dheef uma soo wado 3 3,Negative-Xumaan
13808,Qofka Qaadka cunaa dhibaato mooyee wax dheefa kama helo Waa qof xataa muuqaal ahaan si qaab daran u eeg oo aad mooddo qof bilaa hoy ah Qofkuba waa iska dibjir Habeen oo dhan ayuu soo jeedayaa oo qayilayaa maalin oo dhanna wuu hurdayaa 1 3,Negative-Xumaan
13809,Kheyre wuxuu noqday musharaxa Madaxweyne ee ugu balan qaadka badan mana ka soo bixi karo balanqaad yadaas Xagee buu ka keenaa 30 kordhin mushaar xildhibaan Ma dalka ayuu shisheeye ka gadaa Kama hadlin mushaar shaqaale iyo mid ciidan caafimaadkoodi ama hawlgabkoodi,Positive-Wanaag
13810,Marun miyaay noqoy saa balan qaadka aad qaday aniga ma rabo dadkii iyo dalkiiga inla djyaano,Negative-Xumaan
13811,Barlamaanku in uusan dhagaysan Khudabadaha Musharaxiinta macnaheedu waa in xildhibaan walba yaqaan ninka uu dooranayo sababta uu u dooranayo waxay kula xulanayaana mahan Barnaamiyadooda siyaasadeed iyo balan qaadka wax qabad Masuuliyad daro weyn ayeey muujiyeen Somalia,Neutral-Dhexdhexaad
13812,Billadan uu sheegayo ee layiri soo salama odayga dumarkan waarloos qaybta nadaafada hotelka uu daganyahay kashaqeeyaan qaarna waa dumar qaadwade ah oo ilaalada hotelku qaadka kasoo qaadato kuwa kalena waa dumar layiri kaalay aan soosalaane musharax Dani zanzibari rabey inay Arjan,Positive-Wanaag
13813,Waxqabadkisa looma baahna inuu sheego oo Madaxweynaha hantida qaranka xitta kabo kama gadan Ololihisa Page ka Villada ma u isticmalin hanti dhowrid darted Alalaska nocan ah arosyada xitta lagama alalasin wayadan Qaadka itobiya ninka walalkis u xiraya hanti ilalina lagu laha,Neutral-Dhexdhexaad
13814,Calan khaldan oo xidigtii meeshay doonto eegaysa iyo qoraalkii ashahada oo maqan Waryaada qaadka isku yareeya,Negative-Xumaan
13815,Waxan lacagta la yidhaahdo ama dhuuni raac haddii uu qofku noqdo waxa ku dhaca brainwash oo waxa uu noqdaa qof aan kala saari karin sax iyo qalad si xorana uma hadli karo aan ka ahayn inuu indho la aan ku taageero cidda uu markaa kaba qaadka u yahay AF WAX CUNAY XISHOO,Negative-Xumaan
13816,Dadkeena waxa ugu wacan waalida badan waa jaadka ama qaadka Haddii aan wax laga qaban inta kalena waa waalanaysaa,Negative-Xumaan
13817,SAWIRO Cilmi baaristi labaad saameynta Qaadka PDRC,Neutral-Dhexdhexaad
13818,SAWIRO Cilmi baaristi labaad saameynta Qaadka PDRCTalks,Negative-Xumaan
13819,Waan dhegaysan doona balse waxan taageeri doona kan ugu balan qaadka yar sababtoo ah midba midka uu ka balan qaad badanyahy waka been badanyahay,Positive-Wanaag
13820,Kol hadii aynu iska daynwaynay waa in aynu beernaa qaadka Tujaarta inoosoo waaridaa waa in ay la yimaadaan fikrad ah in maalgashi ku sameeyaan oo inagu inta aan beerno waliba wadamada jaarka u dhoofinaa Cimilada Ethiopia ee uu qaadku ka baxo iyo teenu waa isku mid,Neutral-Dhexdhexaad
13821,Intaynu isku jeedno cadowgeena koobaad ee qaadka ka tashan waynay Itoobiya ku odhan kariwaynay aanu kaa iibsanee na aqoonso hadii kale annaguba waanu beeran Ethiopia A Decline to Khat Revenue via,Positive-Wanaag
13822,noolaato Farmaajo Hadaad rabto sida ay u fekeraan kaba qaadka kikuuyada Imaaraadka amp Kooxda SAHAN ee Dibjir hogaamiyo waxaad dhegaysataa barnaamijka HA NOOLAATO ee uu soo saaro weriye Bililiqo Ayaanle,Positive-Wanaag
13823,Kubada cagtu maxay qaadka uga jeedin weyday,Neutral-Dhexdhexaad
13824,Ciyaartoo keliya wax inooga tari mayso Sof baawar weyn bay inoo soo kordhineysaa Waxay inala xidhiidhineysa hindiya ostraliya iyo dalal kaloo badan Ta kale caruurta ayay qaadka ka jeedineysaa,Negative-Xumaan
13825,Farmaajo And he ll host a dinner in the evening to thank the MPs for re electing him for another 5yrs as well as the election committee for their hard work during the election period Kaba qaadka Kikuuyadu Xabag ha liqaan,Negative-Xumaan
13826,noolaato Inta maxkamadda Xasan Gurguurte lagu jiro baaba qiyaamuhu dhici Farmaajo lamaba gaarayo Intaa ha loo sheego kaba qaadka M Braydon Dibjir,Neutral-Dhexdhexaad
13827,Waxa Farmaajo aad ka faaiiday ood 10 sano kaba Qaadka ugu tahay dadkaaga iyo deegaankane aad isaga uga dooratay wax ka muhiimsan ayaan faaiidnay oo ah in Dalkaan aan isaga ka badbaadino doorashne laqabtay,Neutral-Dhexdhexaad
13828,SL Dr waa sida aad sheegtaye Somaliland maanta qarannimada waxa ka xoog weeyn Qabyaalad iyo Qaadka Ilahay ha inaga qabto labadaas,Neutral-Dhexdhexaad
13829,Odey madax ahaa yaa lagu yidhi hebalow dadka balan qaadka beenta ah ka daa Wuxuu ku jawaabay adeer Somalidu iyadaa beenta rabta waayo wax aanan awood u lahayn oo macquul ahayn yey I weydiistaan Hadda Somalidu iyadaa rabta in la boobo,Negative-Xumaan
13830,Uf Maxaan nacay kuwa gaalad Kaba qaadka ah,Negative-Xumaan
13831,Lakiin middaas ah qaad buu hebel keenn nin ganacsanaayo iyo nin hantidii dalka jeebka ku shubtay miyaa isku mid ah qaadka waa ganacsi soomaalidda taqaan Anigow dhaheeyn he is right haddana danbi kalaweyn kalana culus HSM markad fiiriso siduu u dhaqmay intuu kurisga joogay shame,Neutral-Dhexdhexaad
13832,Salaadaha shanta ah Jimcada ilaa Jimcada kale soon qaad ilaa soon qaadka kale danbiyada waalagu dhaafaa inta u dhaxayso marka laga reebo kuwa waa weyn,Positive-Wanaag
13833,Farmaajo Bentaas wax badan waa ku qaraabtay lacagta timaha aw ku beertay yaa leh lacagta qaadka ethopia yaa leh hishiishka shidaalka yaa leh,Neutral-Dhexdhexaad
13834,Hadlka gabadhu ma xuma Waan ku raacsanahay in ninku afar guursado Waayo raga badi waxa at noqdeen qaar qaad nacaseeyay inatay nacas kali ku ahaan lahayd ha raadsato fariid diinta saxda haysta aduuna tabcaday xaasas badana lehNacasku markuu cidloodo dan buu qaadka u xoori,Positive-Wanaag
13835,And wariyeyaal at jail ninkaan Ramadhanka qaadka jooji dheh,Negative-Xumaan
13836,Haday dawladi jirto ama anu qabilkuu xooganayn khaaimul wadan aya adiga iyo kaad kaba qaadka u tahayba la idinku xukumi lahaa damiir laawayaal khaaimul wadan khaaimul wadan,Negative-Xumaan
13837,Farmaajo In uu reerkiisa la afuro kana qaybgalo marti qaadka nabadoonka dagaankiisu u fidiyay ma u shaqayn Farmajo baa Midda kale xitaa haduu Farmaajo u shaqeeyo ma xaq ayuu u leeyahay in Dhsh lagu weeraro,Positive-Wanaag
13838,Kaba qaadka axmed madoobe adigu cid kale daba dhilif uma tihid oo an ka ahayn m madoobe afar quruush ayad dhafsatay deegankagi,Neutral-Dhexdhexaad
13839,Wasiirka Warfaafinta Dhaqanka iyo Dalxiiska XFS Cusmaan Abokar Dubbe ayaa daah furay Waaxda Warbaahinta Cusub Social Media Department ee Wasaaradda Warfaafinta Wasiir Dubbe ayaa sheegay in ujeedka Waaxdani loo abuurayay ay tahay la jaan qaadka habka casriga ah,Positive-Wanaag
13840,ifrax Toolmon anNa ula shaday danii afgabaadsi maahee isheydaad ka ARagtaa adna waa waxkaa maqan amba qaadka noloshiye maadigaan i aaminin manigaa ilow sha dhaweey wasebara sho dunidi,Positive-Wanaag
13841,Fadlan Jooji Qaadka Dhibmooyee Dheef Kuuma Laha Eh,Neutral-Dhexdhexaad
13842,Bisha Soon qaadka waa bil ku haboon sameynta caadooyin cusub oo ka duwan bilihii hore wanaagna kuu horseeda iyo badinta cibaadada Ka fogaanshaha lagwiga hadalka xun waa mid ka mid ah kuwa ugu muhiimsan in la sameeyo Ramadan22,Positive-Wanaag
13843,Taliye kuxigeenka ciidanka xooga gaar ka ah ee DDS sareeye gaas sakariye cabdi khaliif ayaa kawarbixiyay dhacdadii foosha xumayad ee loo gaystay shacabka tuulada caleen ee degmada shilaabo iyo talaba qaadka ay sameeyeen ciidanka xooga gaar ka Ah,Negative-Xumaan
13844,This reminds of the olden days when Somalia had the strongest army in black Africa Is this something to celebrate or ignore Waxaan ahay nin sahanoo seexan habeenoo socod dheer maraye 30 qaadka AK 47 garabka u suranyahay,Negative-Xumaan
13845,Wey la fogaatay markaan Cabdiwahab wuu innuu raalli gellin bixiyaa Xumaanta uu abuuri karro hadalkaa ma uussan miisaamin iyo calool isku qaadka u sababi karayo,Negative-Xumaan
13846,Abdiwahab haddal uusan ka fiirsan dhibka iyo xumaan isku qaadka uu sababi karrayo ayuu yidhi Reerkan uu ku tilmaamayo waxeysan aheyn waa reerka jirritaanka dowladnimmo Soomali tiirrarka u ah oo welina jaceyl u haya ka bixi raalli gellin gafkaa aad ku hadashay,Negative-Xumaan
